antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married'})	0.23096149167238061	0.5920240649399482	0.1719935413947933	0.7446849262593374	1.2578625943776023	0.035258780250316535	1.5979312505240293
frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	frozenset({'loan=no', 'marital=married'})	0.2749773285262436	0.49886089668443523	0.1719935413947933	0.6254826254826255	1.2538217159126974	0.03481810471830088	1.3380930696776419
frozenset({'loan=no', 'marital=married'})	frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	0.49886089668443523	0.2749773285262436	0.1719935413947933	0.34477254588986433	1.2538217159126976	0.03481810471830088	1.1065205936134186
frozenset({'default=no', 'marital=married'})	frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]'})	0.5920240649399482	0.23096149167238061	0.1719935413947933	0.29051782111634167	1.2578625943776023	0.035258780250316535	1.0839433761925785
frozenset({'marital=married'})	frozenset({'loan=no', 'default=no', 'age=(45.0, 95.0]', 'y=no'})	0.6019331578598128	0.22815244077768684	0.1719935413947933	0.28573528331006104	1.252387580584699	0.034661022244056344	1.0806183494534434
frozenset({'housing=yes', 'age=(45.0, 95.0]'})	frozenset({'y=no', 'marital=married'})	0.13616155360421137	0.5409966601048417	0.09241113888213046	0.6786874593892138	1.254513215031103	0.018748193147565734	1.4285260669335667
frozenset({'y=no', 'marital=married'})	frozenset({'housing=yes', 'age=(45.0, 95.0]'})	0.5409966601048417	0.13616155360421137	0.09241113888213046	0.17081646837564907	1.254513215031103	0.018748193147565734	1.0417940220104824
frozenset({'housing=yes', 'default=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married', 'y=no'})	0.13421512463780938	0.5409966601048417	0.09115038375616553	0.6791364535266975	1.2553431538654696	0.01854044959155561	1.4305250469870678
frozenset({'default=no', 'marital=married', 'y=no'})	frozenset({'housing=yes', 'age=(45.0, 95.0]'})	0.531529937404614	0.13616155360421137	0.09115038375616553	0.17148682951188046	1.2594364927000694	0.018776441692004084	1.0426369515488296
frozenset({'housing=yes', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married', 'y=no'})	0.13616155360421137	0.531529937404614	0.09115038375616553	0.6694282001299545	1.2594364927000696	0.018776441692004084	1.4171507151534135
frozenset({'marital=married', 'y=no'})	frozenset({'housing=yes', 'default=no', 'age=(45.0, 95.0]'})	0.5409966601048417	0.13421512463780938	0.09115038375616553	0.1684860378592747	1.2553431538654696	0.01854044959155561	1.041215078497582
frozenset({'loan=no', 'age=(45.0, 95.0]', 'education=secondary'})	frozenset({'default=no', 'marital=married'})	0.1196611444117582	0.5920240649399482	0.0889606511689633	0.7434380776340112	1.2557565167716984	0.018118374038948046	1.5901655682095683
frozenset({'default=no', 'marital=married'})	frozenset({'loan=no', 'age=(45.0, 95.0]', 'education=secondary'})	0.5920240649399482	0.1196611444117582	0.0889606511689633	0.15026526189942466	1.2557565167716984	0.018118374038948046	1.036016083744059
